Academic Term,Term Value,Queried Subject,Class Code,Class Nbr,Course Title,Units,Teaching Staff,Quota(s),Vacancy,Course Component,Section Code,Language,Period,Room,Meeting Date,Add Consent,Drop Consent,Course Offering Dept
2026-27 Term 1,2420,ACCT,ACCT4244A,9558,Blockchain Fund'tal for Acct 會計師區塊鏈基礎知識,3.00,- Professor XU Ruoxi,50,50,LEC,A,E,Th 02:30PM - 05:15PM,ELB_205,"10/8, 10/15, 10/22, 10/29, 11/5, 11/12, 11/19, 11/26, 12/3",,,Sch of Accountancy
2026-27 Term 1,2420,ACCT,ACCT4262A,7160,China Taxation 中國稅法,3.00,- Dr. GUAN Yanling,50,50,LEC,A,E,Mo 03:30PM - 06:15PM,ARC_G04,"9/7, 9/14, 9/21, 9/28, 10/5, 10/12",,,Sch of Accountancy
2026-27 Term 1,2420,ACCT,ACCT4262A,7160,China Taxation 中國稅法,3.00,- Dr. GUAN Yanling,50,50,LEC,A,E,Mo 03:30PM - 06:15PM,ARC_G04,"10/26, 11/2, 11/9, 11/16, 11/23, 11/30",,,Sch of Accountancy
2026-27 Term 1,2420,ACCT,ACCT4290A,4729,Pro Acct Intern 專業會計實習,3.00,- Dr. SO Lok Kan,100,100,PRA,AP01,E,TBA,NRR,07/09/2026 - 30/11/2026,Yes,Yes,Sch of Accountancy
2026-27 Term 1,2420,AIST,AIST1000-,7644,Introduction to AI & ML 人工智能與機器學習入門,1.00,- Professor XU Qiang,50,50,LEC,-,E,Tu 10:30AM - 11:15AM,ELB_303,"9/8, 9/15, 9/22, 9/29, 10/6, 10/13, 10/20, 10/27, 11/3, 11/10, 11/17, 11/24, 12/1",,,Dept of Computer Sci & Engg
2026-27 Term 1,2420,AIST,AIST1000-,7644,Introduction to AI & ML 人工智能與機器學習入門,1.00,- Professor XU Qiang,50,50,PRJ,-J01,E,Tu 11:30AM - 12:15PM,ELB_303,"9/8, 9/15, 9/22, 9/29, 10/6, 10/13, 10/20, 10/27, 11/3, 11/10, 11/17, 11/24, 12/1",,,Dept of Computer Sci & Engg
2026-27 Term 1,2420,AIST,AIST2010-,4810,Intro to Computer Music 電腦音樂導論,3.00,- Dr. CHAU Chuck Jee,50,50,LEC,-,E,We 09:30AM - 10:15AM,ERB_401,"9/9, 9/16, 9/23, 9/30, 10/7, 10/14, 10/21, 10/28, 11/4, 11/11, 11/18, 11/25, 12/2",,,Dept of Computer Sci & Engg
2026-27 Term 1,2420,AIST,AIST2010-,4810,Intro to Computer Music 電腦音樂導論,3.00,- Dr. CHAU Chuck Jee,50,50,LEC,-,E,Th 12:30PM - 02:15PM,LHC_104,"9/10, 9/17, 9/24",,,Dept of Computer Sci & Engg
2026-27 Term 1,2420,AIST,AIST2010-,4810,Intro to Computer Music 電腦音樂導論,3.00,- Dr. CHAU Chuck Jee,50,50,LEC,-,E,Th 12:30PM - 02:15PM,LHC_104,"10/8, 10/15, 10/22, 10/29, 11/5, 11/12, 11/19, 11/26, 12/3",,,Dept of Computer Sci & Engg
2026-27 Term 1,2420,AIST,AIST2010-,4810,Intro to Computer Music 電腦音樂導論,3.00,- Dr. CHAU Chuck Jee,50,50,LAB,-L01,E,We 10:30AM - 11:15AM,ERB_401,"9/9, 9/16, 9/23, 9/30, 10/7, 10/14, 10/21, 10/28, 11/4, 11/11, 11/18, 11/25, 12/2",,,Dept of Computer Sci & Engg
