term_code,class_nbr,course_code,class_code,section_code,primary_component,career,language,units,course_title_en,course_title_zh,teaching_staff,quota_total,vacancy,add_consent,drop_consent,course_offering_dept,source_snapshot_id,source_kind,captured_at
2420,8169,AIST4998,AIST4998AG,AGJ1,PRJ,Undergraduate,E,3,Final Year Project I,畢業專題研究（一）,- Dr. LAM King Tin,10,6,Yes,Yes,Dept of Computer Sci & Engg,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,6324,AIST4998,AIST4998AH,AHJ1,PRJ,Undergraduate,E,3,Final Year Project I,畢業專題研究（一）,- Dr. LAW Yat Chiu,10,10,Yes,Yes,Dept of Computer Sci & Engg,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,6230,AIST4998,AIST4998AI,AIJ1,PRJ,Undergraduate,E,3,Final Year Project I,畢業專題研究（一）,- Professor LU Songtao,10,10,Yes,Yes,Dept of Computer Sci & Engg,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,8149,AIST4998,AIST4998AJ,AJJ1,PRJ,Undergraduate,E,3,Final Year Project I,畢業專題研究（一）,- Dr. SUM Kwok Wing,10,10,Yes,Yes,Dept of Computer Sci & Engg,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,6211,AIST4998,AIST4998AK,AKJ1,PRJ,Undergraduate,E,3,Final Year Project I,畢業專題研究（一）,- Dr. YU Michael Ruisi,10,10,Yes,Yes,Dept of Computer Sci & Engg,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,8150,AIST4998,AIST4998AL,ALJ1,PRJ,Undergraduate,E,3,Final Year Project I,畢業專題研究（一）,- Dr. TSANG Siu Chung,10,9,Yes,Yes,Dept of Computer Sci & Engg,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,8170,AIST4998,AIST4998AM,AMJ1,PRJ,Undergraduate,E,3,Final Year Project I,畢業專題研究（一）,- Professor Lauren Marcelyn PICK,10,10,Yes,Yes,Dept of Computer Sci & Engg,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,8175,AIST4998,AIST4998AN,ANJ1,PRJ,Undergraduate,E,3,Final Year Project I,畢業專題研究（一）,- Professor ZHANG Hanrui,10,10,Yes,Yes,Dept of Computer Sci & Engg,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,8117,AIST4998,AIST4998AO,AOJ1,PRJ,Undergraduate,E,3,Final Year Project I,畢業專題研究（一）,- Professor XU Qiang,10,10,Yes,Yes,Dept of Computer Sci & Engg,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,8094,AIST4998,AIST4998AP,APJ1,PRJ,Undergraduate,E,3,Final Year Project I,畢業專題研究（一）,- Professor KING Kuo Chin Irwin,10,8,Yes,Yes,Dept of Computer Sci & Engg,2026-08-15T01-53-13+08-00-full-term-1,current,
