entity_type,entity_id,term_code,course_code,class_nbr,status,reason,attempt_count,first_attempt_at,last_attempt_at,source_snapshot_id,raw_path
subject,COOP,2420,,,data,,1,2026-08-14T17:58:05.474Z,2026-08-14T17:58:10.205Z,2026-08-15T01-53-13+08-00-full-term-1,data/cuhk-timetable/snapshots/2026-08-15T01-53-13+08-00-full-term-1/raw/2420/COOP.json
subject,CSAT,2420,,,data,,1,2026-08-14T17:58:45.419Z,2026-08-14T17:58:49.600Z,2026-08-15T01-53-13+08-00-full-term-1,data/cuhk-timetable/snapshots/2026-08-15T01-53-13+08-00-full-term-1/raw/2420/CSAT.json
subject,CSCI,2420,,,historical_fallback,Latest query was invalid/blank; records use the previous snapshot and may be stale.,0,,2026-08-14T18:18:13.737Z,2026-08-15T00-47-47+08-00,archive/legacy-snapshots/2026-08-15T00-47-47+08-00/raw/2420/CSCI.json
subject,CUMT,2420,,,data,,1,2026-08-14T17:58:59.277Z,2026-08-14T17:59:03.702Z,2026-08-15T01-53-13+08-00-full-term-1,data/cuhk-timetable/snapshots/2026-08-15T01-53-13+08-00-full-term-1/raw/2420/CUMT.json
subject,CURE,2420,,,historical_fallback,Latest query was invalid/blank; records use the previous snapshot and may be stale.,2,2026-08-14T18:00:42.911Z,2026-08-14T18:00:53.052Z,2026-08-15T00-47-47+08-00,archive/legacy-snapshots/2026-08-15T00-47-47+08-00/raw/2420/CURE.json
subject,DIPL,2420,,,data,,1,2026-08-14T18:01:13.964Z,2026-08-14T18:01:18.481Z,2026-08-15T01-53-13+08-00-full-term-1,data/cuhk-timetable/snapshots/2026-08-15T01-53-13+08-00-full-term-1/raw/2420/DIPL.json
subject,DOTE,2420,,,historical_fallback,Latest query was invalid/blank; records use the previous snapshot and may be stale.,2,2026-08-14T18:01:18.482Z,2026-08-14T18:01:28.457Z,2026-08-15T00-47-47+08-00,archive/legacy-snapshots/2026-08-15T00-47-47+08-00/raw/2420/DOTE.json
subject,DSPS,2420,,,data,,1,2026-08-14T18:01:28.458Z,2026-08-14T18:01:33.248Z,2026-08-15T01-53-13+08-00-full-term-1,data/cuhk-timetable/snapshots/2026-08-15T01-53-13+08-00-full-term-1/raw/2420/DSPS.json
subject,ECON,2420,,,data,,2,2026-08-14T18:01:33.248Z,2026-08-14T18:01:43.266Z,2026-08-15T01-53-13+08-00-full-term-1,data/cuhk-timetable/snapshots/2026-08-15T01-53-13+08-00-full-term-1/raw/2420/ECON.json
subject,EDUC,2420,,,data,,1,2026-08-14T18:01:47.319Z,2026-08-14T18:01:52.046Z,2026-08-15T01-53-13+08-00-full-term-1,data/cuhk-timetable/snapshots/2026-08-15T01-53-13+08-00-full-term-1/raw/2420/EDUC.json
